title,assigned_category,url
Efficient and Robust Automated Machine Learning,Datasets and Benchmarks,https://proceedings.neurips.cc/paper_files/paper/2015/hash/11d0e6287202fced83f79975ec59a3a6-Abstract.html
Backpropagation for Energy-Efficient Neuromorphic Computing,Deep Learning->Algorithms,https://proceedings.neurips.cc/paper_files/paper/2015/hash/10a5ab2db37feedfdeaab192ead4ac0e-Abstract.html
Weakly-supervised Disentangling with Recurrent Transformations for 3D View Synthesis,Deep Learning->Attention Mechanisms,https://proceedings.neurips.cc/paper_files/paper/2015/hash/109a0ca3bc27f3e96597370d5c8cf03d-Abstract.html
Attention-Based Models for Speech Recognition,Deep Learning->Attention Mechanisms,https://proceedings.neurips.cc/paper_files/paper/2015/hash/1068c6e4c8051cfd4e9ea8072e3189e2-Abstract.html
Statistical Model Criticism using Kernel Two Sample Tests,Interpretability,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0fcbc61acd0479dc77e3cccc0f5ffca7-Abstract.html
Bayesian Optimization with Exponential Convergence,Probabilistic Methods->Monte Carlo and Sampling Methods,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0ebcc77dc72360d0eb8e9504c78d38bd-Abstract.html
Policy Evaluation Using the Ω-Return,Reinforcement Learning->Function Approximation,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0e65972dce68dad4d52d063967f0a705-Abstract.html
Efficient and Parsimonious Agnostic Active Learning,Theory->Active Learning and Interactive Learning,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0d4f4805c36dc6853edfa4c7e1638b48-Abstract.html
Recognizing retinal ganglion cells in the dark,"Neuroscience, Cognitive Science",https://proceedings.neurips.cc/paper_files/paper/2015/hash/fe70c36866add1572a8e2b96bfede7bf-Abstract.html
Local Causal Discovery of Direct Causes and Effects,Causality,https://proceedings.neurips.cc/paper_files/paper/2015/hash/fcdf25d6e191893e705819b177cddea0-Abstract.html
A Universal Analysis of Large-Scale Regularized Least Squares Solutions,Theory->Everything Else,https://proceedings.neurips.cc/paper_files/paper/2017/hash/136f951362dab62e64eb8e841183c2a9-Abstract.html
Consistent Multitask Learning with Nonlinear Output Relations,"Miscellaneous Aspects of Machine Learning->Transfer, Multitask and Meta-learning",https://proceedings.neurips.cc/paper_files/paper/2017/hash/b24d516bb65a5a58079f0f3526c87c57-Abstract.html
Regularized Nonlinear Acceleration,Optimization,https://proceedings.neurips.cc/paper_files/paper/2016/hash/bbf94b34eb32268ada57a3be5062fe7d-Abstract.html
Split LBI: An Iterative Regularization Path with Structural Sparsity,Deep Learning->Autoencoders,https://proceedings.neurips.cc/paper_files/paper/2016/hash/2451041557a22145b3701b0184109cab-Abstract.html
Natural-Parameter Networks: A Class of Probabilistic Neural Networks,Graph Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2016/hash/fe9fc289c3ff0af142b6d3bead98a923-Abstract.html
Minimizing Quadratic Functions in Constant Time,Optimization->Convex,https://proceedings.neurips.cc/paper_files/paper/2016/hash/feab05aa91085b7a8012516bc3533958-Abstract.html
Generalizing to Unseen Domains via Adversarial Data Augmentation,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2018/hash/1d94108e907bb8311d8802b48fd54b4a-Abstract.html
Learning to Specialize with Knowledge Distillation for Visual Question Answering,"Miscellaneous Aspects of Machine Learning->Transfer, Multitask and Meta-learning",https://proceedings.neurips.cc/paper_files/paper/2018/hash/0f2818101a7ac4b96ceeba38de4b934c-Abstract.html
Approximate Knowledge Compilation by Online Collapsed Importance Sampling,Probabilistic Methods->Monte Carlo and Sampling Methods,https://proceedings.neurips.cc/paper_files/paper/2018/hash/4f164cf233807fc02da06599a1264dee-Abstract.html
Wavelet regression and additive models for irregularly spaced data,Optimization->Non-Convex,https://proceedings.neurips.cc/paper_files/paper/2018/hash/bf764716fe1a58cb07f8a377ec25c16d-Abstract.html
Understanding the Role of Adaptivity in Machine Teaching: The Case of Version Space Learners,Online Learning,https://proceedings.neurips.cc/paper_files/paper/2018/hash/bf62768ca46b6c3b5bea9515d1a1fc45-Abstract.html
Efficient Projection onto the Perfect Phylogeny Model,"Optimization->Large Scale, Parallel and Distributed",https://proceedings.neurips.cc/paper_files/paper/2018/hash/d198bd736a97e7cecfdf8f4f2027ef80-Abstract.html
Modern Neural Networks Generalize on Small Data Sets,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2018/hash/fface8385abbf94b4593a0ed53a0c70f-Abstract.html
Equality of Opportunity in Classification: A Causal Approach,Fairness,https://proceedings.neurips.cc/paper_files/paper/2018/hash/ff1418e8cc993fe8abcfe3ce2003e5c5-Abstract.html
LAG: Lazily Aggregated Gradient for Communication-Efficient Distributed Learning,"Optimization->Large Scale, Parallel and Distributed",https://proceedings.neurips.cc/paper_files/paper/2018/hash/feecee9f1643651799ede2740927317a-Abstract.html
