title,url,category,x,y,z
Efficient and Robust Automated Machine Learning,https://proceedings.neurips.cc/paper_files/paper/2015/hash/11d0e6287202fced83f79975ec59a3a6-Abstract.html,Datasets and Benchmarks,-4.714827,-31.227688,14.4719
Backpropagation for Energy-Efficient Neuromorphic Computing,https://proceedings.neurips.cc/paper_files/paper/2015/hash/10a5ab2db37feedfdeaab192ead4ac0e-Abstract.html,Deep Learning->Algorithms,-0.008625979,-6.4862,-25.346582
Weakly-supervised Disentangling with Recurrent Transformations for 3D View Synthesis,https://proceedings.neurips.cc/paper_files/paper/2015/hash/109a0ca3bc27f3e96597370d5c8cf03d-Abstract.html,Deep Learning->Attention Mechanisms,-32.71207,1.5622389,-6.2808704
Attention-Based Models for Speech Recognition,https://proceedings.neurips.cc/paper_files/paper/2015/hash/1068c6e4c8051cfd4e9ea8072e3189e2-Abstract.html,Deep Learning->Attention Mechanisms,-20.027407,-18.616188,-4.3516855
Statistical Model Criticism using Kernel Two Sample Tests,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0fcbc61acd0479dc77e3cccc0f5ffca7-Abstract.html,Interpretability,5.2911124,13.62986,-7.871876
Bayesian Optimization with Exponential Convergence,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0ebcc77dc72360d0eb8e9504c78d38bd-Abstract.html,Probabilistic Methods->Monte Carlo and Sampling Methods,13.310625,-16.412233,16.642399
Policy Evaluation Using the Ω-Return,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0e65972dce68dad4d52d063967f0a705-Abstract.html,Reinforcement Learning->Function Approximation,16.601788,-19.447231,3.4877594
Efficient and Parsimonious Agnostic Active Learning,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0d4f4805c36dc6853edfa4c7e1638b48-Abstract.html,Theory->Active Learning and Interactive Learning,13.436292,2.042809,-27.598906
Recognizing retinal ganglion cells in the dark,https://proceedings.neurips.cc/paper_files/paper/2015/hash/fe70c36866add1572a8e2b96bfede7bf-Abstract.html,"Neuroscience, Cognitive Science",-8.538296,-1.7510722,-18.404333
Local Causal Discovery of Direct Causes and Effects,https://proceedings.neurips.cc/paper_files/paper/2015/hash/fcdf25d6e191893e705819b177cddea0-Abstract.html,Causality,10.459162,-7.3751407,-5.095683
A Universal Analysis of Large-Scale Regularized Least Squares Solutions,https://proceedings.neurips.cc/paper_files/paper/2017/hash/136f951362dab62e64eb8e841183c2a9-Abstract.html,Theory->Everything Else,8.555905,21.591032,1.8257376
Consistent Multitask Learning with Nonlinear Output Relations,https://proceedings.neurips.cc/paper_files/paper/2017/hash/b24d516bb65a5a58079f0f3526c87c57-Abstract.html,"Miscellaneous Aspects of Machine Learning->Transfer, Multitask and Meta-learning",-3.127246,-18.511766,19.776365
